porosity,permeability_mD,grain_diameter_micrometer
7.82,12.936,60.243
8.74,816.021,448.232
12.68,279.425,148.315
9.53,2698.038,578.27
13.52,37297.083,1093.163
16.520000000000003,195.241,53.464
9.75,2056.401,450.131
5.0,10.333,117.353
9.62,10957.427,1256.006
16.53,775.68,127.455
5.0,184.182,475.839
10.8,1384.07,385.279
14.62,1496.453,215.60199999999998
6.3100000000000005,585.124,608.918
7.5200000000000005,1147.736,727.2710000000001
7.26,354.332,404.798
5.0,655.057,820.367
5.0,2762.41,1881.322
9.950000000000001,424.516,234.785
10.12,1016.702,333.705
9.229999999999999,12.902,52.354
5.0,902.339,942.444
13.07,2203.125,340.73
5.0,25.663,225.19
11.31,85.825,70.74199999999999
8.5,6131.375,1331.23
5.0,20.133,214.68200000000002
12.24,3575.837,620.164
7.86,16.92,86.75099999999999
21.45,276300.605,1735.522
7.26,21.258,96.57000000000001
18.89,558.109,104.387
5.06,1423.047,1188.8090000000002
5.0,1843.035,1448.713
17.79,626.631,109.356
5.0,72.018,282.891
5.0,541.635,748.295
12.32,10662.421,1276.923
7.470000000000001,98.72,202.411
7.75,162.921,336.718
16.98,24104.475,771.337
13.74,10773.825,741.812
5.79,1432.165,898.088
5.0,197.928,409.29699999999997
5.1,4.811,73.54799999999999
5.3,1545.37,1403.426
13.5,32533.714,1218.0610000000001
19.37,47186.363,949.664
5.0,4.07,72.27
7.249999999999999,39.82,106.274
15.879999999999999,15809.819,776.716
5.72,4.65,54.456
13.0,71155.964,1852.451
11.67,332.032,200.992
11.41,7561.217,710.153
6.5600000000000005,4059.66,1321.028
5.0,37.135,214.383
7.000000000000001,45.072,162.27
11.97,2055.088,472.291
5.0,117.403,426.334
24.34,8764.956,226.171
5.0,118.235,460.309
5.0,2256.442,1575.822
5.0,39.762,280.645
5.9799999999999995,13.544,103.315
7.920000000000001,138.307,201.037
8.1,380.937,213.97
8.709999999999999,18.123,81.099
5.0,10.851,91.18
20.1,29444.76,624.712
6.76,70.777,174.918
8.260000000000002,11251.0,1693.4579999999999
5.0,13.739,122.80799999999999
7.140000000000001,11.656,72.02000000000001
17.27,45774.875,805.619
16.02,46560.042,1289.563
14.77,721.674,139.484
8.55,37.219,105.372
8.19,35.32,99.215
14.97,2112.801,342.97700000000003
6.3100000000000005,150.001,281.45
12.11,363.576,130.199
10.040000000000001,23.917,59.066
9.01,404.751,295.358
15.15,54507.839,1721.385
5.0,221.689,555.066
10.45,443.495,311.029
18.44,218.091,75.215
7.62,50.815,126.87899999999999
10.31,267.692,148.325
8.57,7995.725,839.9069999999999
6.510000000000001,2325.438,1269.151
5.0,2494.512,1391.408
5.0,3030.917,1889.331
12.73,50735.173,1874.047
30.209999999999997,1047921.344,1681.635
5.0,3.384,65.16799999999999
5.0,5.599,83.12299999999999
10.7,177.177,153.72500000000002
10.11,650.979,384.36699999999996
11.34,31.134,71.505
10.16,11806.434,1132.368
5.25,194.6,486.464
6.61,206.703,369.718
11.53,93.532,92.00399999999999
18.6,1169.536,127.26299999999999
7.33,22.48,90.323
7.03,2412.541,1158.292
17.9,13703.991,431.458
5.0,767.946,752.821
15.110000000000001,711.451,149.016
5.3100000000000005,51.043,196.67
10.97,718.461,222.624
10.63,8558.707,825.201
5.0,720.947,863.6260000000001
6.18,21.359,107.22500000000001
8.97,15306.804,1612.025
5.0,3.233,78.03099999999999
5.0,1852.003,1363.3619999999999
10.71,28.3,72.41199999999999
8.6,57.145,132.672
7.5600000000000005,5776.917,1135.2179999999998
8.649999999999999,55.093,96.94500000000001
5.9799999999999995,121.1,229.896
8.52,261.554,262.828
7.290000000000001,25.925,123.563
5.0,338.073,686.792
18.61,75833.739,1155.737
24.07,221869.61,1259.192
5.0,35.432,174.81699999999998
10.41,875.407,354.343
16.689999999999998,667.059,125.00599999999999
11.19,107.704,123.35300000000001
15.32,271.644,90.63799999999999
7.23,6351.774,1603.012
5.0,1049.774,1323.0659999999998
5.0,555.585,879.722
10.040000000000001,752.737,337.516
7.449999999999999,230.644,305.459
9.29,1268.476,352.902
9.569999999999999,763.264,361.896
5.0,44.174,248.408
7.5600000000000005,9.031,81.29199999999999
13.56,86.802,79.486
16.42,91531.587,1676.9930000000002
8.92,331.788,295.946
16.520000000000003,167419.714,1682.916
5.319999999999999,7.441,91.41799999999999
5.0,182.857,386.526
5.0,9.221,107.583
9.11,84.438,127.229
5.1499999999999995,2.592,55.862
7.6899999999999995,18.082,77.543
5.0,3081.778,1471.689
5.0,9.279,163.714
5.0,85.926,471.226
14.06,1354.699,277.94
5.4399999999999995,48.879,219.037
11.85,1939.665,355.70000000000005
5.0,9.156,99.756
6.7,6252.039,1917.665
5.96,2016.901,1023.171
5.0,664.756,771.048
5.3,79.117,281.806
5.0,8.434,87.88000000000001
12.959999999999999,39674.598,1492.56
14.23,562.36,176.154
22.21,470.866,60.151
5.0,25.337,176.816
5.0,684.835,936.9960000000001
14.899999999999999,10652.76,497.26399999999995
6.97,594.983,797.735
8.07,1858.312,934.161
16.73,299.763,109.278
