porosity,permeability_mD,grain_diameter_micrometer
7.82,1.0,60.243
8.74,1.0,448.232
12.68,1.0,148.315
9.53,1.0,578.27
13.52,7.897662238892103,1093.163
16.520000000000003,1.0,53.464
9.75,1.0,450.131
5.0,1.0,117.353
9.62,3.4386974445178526,1256.006
16.53,1.0,127.455
5.0,1.0,475.839
10.8,1.0,385.279
14.62,1.0,215.602
6.3100000000000005,1.0,608.918
7.52,1.0,727.2710000000001
7.26,1.0,404.798
5.0,1.0,820.367
5.0,1.0,1881.322
9.95,1.0,234.785
10.12,1.0,333.705
9.23,1.0,52.354
5.0,1.0,942.444
13.07,1.0,340.73
5.0,1.0,225.19
11.31,1.0,70.74199999999999
8.5,2.599864876908149,1331.23
5.0,1.0,214.682
12.24,1.8314460265845645,620.164
7.86,1.0,86.75099999999999
21.45,96.356219671802,1735.522
7.26,1.0,96.57
18.89,1.0,104.387
5.06,1.0,1188.8090000000002
5.0,1.0,1448.713
17.79,1.0,109.356
5.0,1.0,282.891
5.0,1.0,748.295
12.32,7.9321415567911995,1276.923
7.470000000000001,1.0,202.411
7.75,1.0,336.718
16.98,8.452125248840211,771.337
13.74,3.8367101864180215,741.812
5.79,1.0,898.088
5.0,1.0,409.297
5.1,1.0,73.54799999999999
5.3,1.0,1403.426
13.5,9.757468602461973,1218.061
19.37,20.163479974691445,949.664
5.0,1.0,72.27
7.249999999999999,1.0,106.274
15.88,6.8282193654564605,776.716
5.72,1.0,54.456
13.0,19.92117751924956,1852.451
11.67,1.0,200.992
11.41,1.90906791040058,710.153
6.5600000000000005,1.1284956775654915,1321.028
5.0,1.0,214.383
7.000000000000001,1.0,162.27
11.97,1.0,472.291
5.0,1.0,426.334
24.34,2.5771095476542256,226.171
5.0,1.0,460.309
5.0,1.0,1575.822
5.0,1.0,280.645
5.98,1.0,103.315
7.920000000000001,1.0,201.037
8.1,1.0,213.97
8.709999999999999,1.0,81.099
5.0,1.0,91.18
20.1,9.928515221060524,624.712
6.76,1.0,174.918
8.260000000000002,3.8406216531327666,1693.458
5.0,1.0,122.808
7.140000000000001,1.0,72.02000000000001
17.27,9.768780698710778,805.619
16.02,19.38879943340632,1289.563
14.77,1.0,139.484
8.55,1.0,105.372
8.19,1.0,99.215
14.97,1.091644002502311,342.97700000000003
6.3100000000000005,1.0,281.45
12.11,1.0,130.199
10.04,1.0,59.066
9.01,1.0,295.358
15.15,28.62333472897176,1721.385
5.0,1.0,555.066
10.45,1.0,311.029
18.44,1.0,75.215
7.62,1.0,126.879
10.31,1.0,148.325
8.57,1.0623250526299879,839.9069999999999
6.510000000000001,1.0168788964569009,1269.151
5.0,1.0,1391.408
5.0,1.0,1889.331
12.73,19.025943896519717,1874.047
30.21,320.1542345229019,1681.635
5.0,1.0,65.16799999999999
5.0,1.0,83.12299999999999
10.7,1.0,153.72500000000002
10.11,1.0,384.367
11.34,1.0,71.505
10.16,3.332320838468305,1132.368
5.25,1.0,486.464
6.61,1.0,369.718
11.53,1.0,92.004
18.6,1.0,127.263
7.33,1.0,90.323
7.03,1.0785652466470264,1158.292
17.9,3.1679609992344506,431.458
5.0,1.0,752.821
15.11,1.0,149.016
5.3100000000000005,1.0,196.67
10.97,1.0,222.624
10.63,2.0481688865484813,825.201
5.0,1.0,863.6260000000001
6.18,1.0,107.225
8.97,4.526700746109837,1612.025
5.0,1.0,78.03099999999999
5.0,1.0,1363.362
10.71,1.0,72.41199999999999
8.6,1.0,132.672
7.56,1.3032689423543595,1135.2179999999998
8.649999999999999,1.0,96.945
5.98,1.0,229.896
8.52,1.0,262.828
7.290000000000001,1.0,123.563
5.0,1.0,686.792
18.61,25.99232042883157,1155.737
24.07,76.70353479763429,1259.192
5.0,1.0,174.81699999999998
10.41,1.0,354.343
16.689999999999998,1.0,125.006
11.19,1.0,123.353
15.32,1.0,90.638
7.23,2.2568532546909563,1603.012
5.0,1.0,1323.0659999999998
5.0,1.0,879.722
10.04,1.0,337.516
7.449999999999999,1.0,305.459
9.29,1.0,352.902
9.57,1.0,361.896
5.0,1.0,248.408
7.56,1.0,81.29199999999999
13.56,1.0,79.486
16.42,35.64570593630834,1676.9930000000002
8.92,1.0,295.946
16.520000000000003,36.6454553615128,1682.916
5.319999999999999,1.0,91.418
5.0,1.0,386.526
5.0,1.0,107.583
9.11,1.0,127.229
5.15,1.0,55.862
7.689999999999999,1.0,77.543
5.0,1.0,1471.689
5.0,1.0,163.714
5.0,1.0,471.226
14.06,1.0,277.94
5.44,1.0,219.037
11.85,1.0,355.70000000000005
5.0,1.0,99.756
6.7,2.5411868539736804,1917.665
5.96,1.0,1023.171
5.0,1.0,771.048
5.3,1.0,281.806
5.0,1.0,87.88000000000001
12.96,12.801793945204784,1492.56
14.23,1.0,176.154
22.21,1.0,60.151
5.0,1.0,176.816
5.0,1.0,936.996
14.9,2.258934919550228,497.264
6.97,1.0,797.735
8.07,1.085374324658098,934.161
